Region,Date,Sex,Age,Deaths
Midwest,2020-10-31,m,85,5068
Midwest,2020-10-31,m,TOT,19166
Midwest,2020-11-07,b,TOT,38970
Midwest,2020-11-07,f,0,3
Midwest,2020-11-07,f,1,1
Midwest,2020-11-07,f,15,27
Midwest,2020-11-07,f,25,84
Midwest,2020-11-07,f,35,195
Midwest,2020-11-07,f,45,519
Midwest,2020-11-07,f,5,2
Midwest,2020-11-07,f,55,1480
Midwest,2020-11-07,f,65,3107
Midwest,2020-11-07,f,75,4833
Midwest,2020-11-07,f,85,8226
Midwest,2020-11-07,f,TOT,18468
Midwest,2020-11-07,m,0,2
Midwest,2020-11-07,m,1,1
Midwest,2020-11-07,m,15,25
Midwest,2020-11-07,m,25,142
Midwest,2020-11-07,m,35,380
Midwest,2020-11-07,m,45,1074
Midwest,2020-11-07,m,5,2
Midwest,2020-11-07,m,55,2586
Midwest,2020-11-07,m,65,4896
Midwest,2020-11-07,m,75,5844
Midwest,2020-11-07,m,85,5551
Midwest,2020-11-07,m,TOT,20501
Midwest,2020-11-14,b,TOT,41287
Midwest,2020-11-14,f,0,3
Midwest,2020-11-14,f,1,1
Midwest,2020-11-14,f,15,28
Midwest,2020-11-14,f,25,86
Midwest,2020-11-14,f,35,199
Midwest,2020-11-14,f,45,535
Midwest,2020-11-14,f,5,2
Midwest,2020-11-14,f,55,1538
Midwest,2020-11-14,f,65,3258
Midwest,2020-11-14,f,75,5119
Midwest,2020-11-14,f,85,8733
Midwest,2020-11-14,f,TOT,19493
Midwest,2020-11-14,m,0,2
Midwest,2020-11-14,m,1,1
Midwest,2020-11-14,m,15,26
Midwest,2020-11-14,m,25,149
Midwest,2020-11-14,m,35,398
Midwest,2020-11-14,m,45,1123
Midwest,2020-11-14,m,5,2
Midwest,2020-11-14,m,55,2698
Midwest,2020-11-14,m,65,5167
Midwest,2020-11-14,m,75,6265
Midwest,2020-11-14,m,85,5965
Midwest,2020-11-14,m,TOT,21793
Midwest,2020-11-21,b,TOT,44722
Midwest,2020-11-21,f,0,3
Midwest,2020-11-21,f,1,1
Midwest,2020-11-21,f,15,29
Midwest,2020-11-21,f,25,90
Midwest,2020-11-21,f,35,206
Midwest,2020-11-21,f,45,566
Midwest,2020-11-21,f,5,2
Midwest,2020-11-21,f,55,1636
Midwest,2020-11-21,f,65,3502
Midwest,2020-11-21,f,75,5578
Midwest,2020-11-21,f,85,9487
Midwest,2020-11-21,f,TOT,21093
Midwest,2020-11-21,m,0,2
Midwest,2020-11-21,m,1,1
Midwest,2020-11-21,m,15,29
Midwest,2020-11-21,m,25,152
Midwest,2020-11-21,m,35,414
Midwest,2020-11-21,m,45,1168
Midwest,2020-11-21,m,5,2
Midwest,2020-11-21,m,55,2848
Midwest,2020-11-21,m,65,5521
Midwest,2020-11-21,m,75,6874
Midwest,2020-11-21,m,85,6620
Midwest,2020-11-21,m,TOT,23628
Midwest,2020-11-28,b,TOT,48629
Midwest,2020-11-28,f,0,3
Midwest,2020-11-28,f,1,1
Midwest,2020-11-28,f,15,29
Midwest,2020-11-28,f,25,94
Midwest,2020-11-28,f,35,217
Midwest,2020-11-28,f,45,603
Midwest,2020-11-28,f,5,2
Midwest,2020-11-28,f,55,1778
Midwest,2020-11-28,f,65,3784
Midwest,2020-11-28,f,75,6080
Midwest,2020-11-28,f,85,10363
Midwest,2020-11-28,f,TOT,22946
Midwest,2020-11-28,m,0,2
Midwest,2020-11-28,m,1,1
Midwest,2020-11-28,m,15,30
Midwest,2020-11-28,m,25,162
Midwest,2020-11-28,m,35,429
Midwest,2020-11-28,m,45,1231
Midwest,2020-11-28,m,5,3
Midwest,2020-11-28,m,55,3068
Midwest,2020-11-28,m,65,5976
Midwest,2020-11-28,m,75,7541
Midwest,2020-11-28,m,85,7242
Midwest,2020-11-28,m,TOT,25682
Midwest,2020-12-05,b,TOT,53717
Midwest,2020-12-05,f,0,3
Midwest,2020-12-05,f,1,1
Midwest,2020-12-05,f,15,32
Midwest,2020-12-05,f,25,99
Midwest,2020-12-05,f,35,228
Midwest,2020-12-05,f,45,636
Midwest,2020-12-05,f,5,2
Midwest,2020-12-05,f,55,1925
Midwest,2020-12-05,f,65,4179
Midwest,2020-12-05,f,75,6673
Midwest,2020-12-05,f,85,11477
Midwest,2020-12-05,f,TOT,25248
Midwest,2020-12-05,m,0,2
Midwest,2020-12-05,m,1,1
Midwest,2020-12-05,m,15,32
Midwest,2020-12-05,m,25,172
Midwest,2020-12-05,m,35,457
Midwest,2020-12-05,m,45,1320
Midwest,2020-12-05,m,5,3
Midwest,2020-12-05,m,55,3320
Midwest,2020-12-05,m,65,6540
Midwest,2020-12-05,m,75,8413
Midwest,2020-12-05,m,85,8212
Midwest,2020-12-05,m,TOT,28468
Midwest,2020-12-12,b,TOT,58973
Midwest,2020-12-12,f,0,3
Midwest,2020-12-12,f,1,1
Midwest,2020-12-12,f,15,33
Midwest,2020-12-12,f,25,104
Midwest,2020-12-12,f,35,246
Midwest,2020-12-12,f,45,688
Midwest,2020-12-12,f,5,2
Midwest,2020-12-12,f,55,2091
Midwest,2020-12-12,f,65,4580
Midwest,2020-12-12,f,75,7327
Midwest,2020-12-12,f,85,12670
Midwest,2020-12-12,f,TOT,27740
Midwest,2020-12-12,m,0,2
Midwest,2020-12-12,m,1,1
Midwest,2020-12-12,m,15,34
Midwest,2020-12-12,m,25,180
Midwest,2020-12-12,m,35,478
Midwest,2020-12-12,m,45,1408
Midwest,2020-12-12,m,5,3
Midwest,2020-12-12,m,55,3586
Midwest,2020-12-12,m,65,7161
Midwest,2020-12-12,m,75,9310
Midwest,2020-12-12,m,85,9073
Midwest,2020-12-12,m,TOT,31232
Midwest,2020-12-19,b,TOT,64669
Midwest,2020-12-19,f,0,3
Midwest,2020-12-19,f,1,1
Midwest,2020-12-19,f,15,32
Midwest,2020-12-19,f,25,115
Midwest,2020-12-19,f,35,266
Midwest,2020-12-19,f,45,738
Midwest,2020-12-19,f,5,2
Midwest,2020-12-19,f,55,2278
