Country,State,Date,Sex,Age,Deaths
USA,Connecticut,2020-09-26,f,0,1
USA,Connecticut,2020-09-26,f,1,0
USA,Connecticut,2020-09-26,f,5,0
USA,Connecticut,2020-09-26,f,15,1
USA,Connecticut,2020-09-26,f,25,4
USA,Connecticut,2020-09-26,f,35,10
USA,Connecticut,2020-09-26,f,45,27
USA,Connecticut,2020-09-26,f,55,125
USA,Connecticut,2020-09-26,f,65,295
USA,Connecticut,2020-09-26,f,75,576
USA,Connecticut,2020-09-26,f,85,1256
USA,Connecticut,2020-09-26,f,TOT,2294
USA,Connecticut,2020-09-26,m,0,0
USA,Connecticut,2020-09-26,m,1,0
USA,Connecticut,2020-09-26,m,5,0
USA,Connecticut,2020-09-26,m,15,1
USA,Connecticut,2020-09-26,m,25,11
USA,Connecticut,2020-09-26,m,35,19
USA,Connecticut,2020-09-26,m,45,76
USA,Connecticut,2020-09-26,m,55,238
USA,Connecticut,2020-09-26,m,65,459
USA,Connecticut,2020-09-26,m,75,577
USA,Connecticut,2020-09-26,m,85,735
USA,Connecticut,2020-09-26,m,TOT,2116
USA,Delaware,2020-09-26,b,TOT,563
USA,Delaware,2020-09-26,f,0,0
USA,Delaware,2020-09-26,f,1,0
USA,Delaware,2020-09-26,f,5,0
USA,Delaware,2020-09-26,f,15,1
USA,Delaware,2020-09-26,f,25,2
USA,Delaware,2020-09-26,f,35,5
USA,Delaware,2020-09-26,f,45,16
USA,Delaware,2020-09-26,f,55,23
USA,Delaware,2020-09-26,f,65,44
USA,Delaware,2020-09-26,f,75,74
USA,Delaware,2020-09-26,f,85,135
USA,Delaware,2020-09-26,f,TOT,300
USA,Delaware,2020-09-26,m,0,0
USA,Delaware,2020-09-26,m,1,0
USA,Delaware,2020-09-26,m,5,0
USA,Delaware,2020-09-26,m,15,1
USA,Delaware,2020-09-26,m,25,2
USA,Delaware,2020-09-26,m,35,6
USA,Delaware,2020-09-26,m,45,11
USA,Delaware,2020-09-26,m,55,33
USA,Delaware,2020-09-26,m,65,76
USA,Delaware,2020-09-26,m,75,72
USA,Delaware,2020-09-26,m,85,63
USA,Delaware,2020-09-26,m,TOT,263
USA,District of Columbia,2020-09-26,b,TOT,756
USA,District of Columbia,2020-09-26,f,0,0
USA,District of Columbia,2020-09-26,f,1,0
USA,District of Columbia,2020-09-26,f,5,0
USA,District of Columbia,2020-09-26,f,15,1
USA,District of Columbia,2020-09-26,f,25,2
USA,District of Columbia,2020-09-26,f,35,6
USA,District of Columbia,2020-09-26,f,45,21
USA,District of Columbia,2020-09-26,f,55,52
USA,District of Columbia,2020-09-26,f,65,74
USA,District of Columbia,2020-09-26,f,75,66
USA,District of Columbia,2020-09-26,f,85,91
USA,District of Columbia,2020-09-26,f,TOT,313
USA,District of Columbia,2020-09-26,m,0,1
USA,District of Columbia,2020-09-26,m,1,0
USA,District of Columbia,2020-09-26,m,5,0
USA,District of Columbia,2020-09-26,m,15,0
USA,District of Columbia,2020-09-26,m,25,6
USA,District of Columbia,2020-09-26,m,35,22
USA,District of Columbia,2020-09-26,m,45,48
USA,District of Columbia,2020-09-26,m,55,85
USA,District of Columbia,2020-09-26,m,65,130
USA,District of Columbia,2020-09-26,m,75,91
USA,District of Columbia,2020-09-26,m,85,61
USA,District of Columbia,2020-09-26,m,TOT,443
USA,Florida,2020-09-26,b,TOT,14351
