Region,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Midwest,m,40,2021-03-15,15033.928202798012,15864.410920928594,15962.690250887328,11746004.32645331
Midwest,m,40,2021-04-15,15883.496538385596,16795.098563356325,16907.206434463224,12648966.193581542
Midwest,m,65,2020-03-15,195.6018710115244,293.8514309771695,325.8973721713232,247190.0338434745
Midwest,m,65,2020-04-15,1455.2028004841634,1681.7627867984909,1742.4907938321785,495148.9356973381
Midwest,m,65,2020-05-15,2227.101606300972,2540.16951336389,2657.6551780389555,743873.6017052113
Midwest,m,65,2020-06-15,2505.121624481545,2999.2869346488087,3116.7725993238746,993358.832324026
Midwest,m,65,2020-07-15,3101.9578123404117,3677.7982797387685,3801.0630851818746,1243597.3323240257
Midwest,m,65,2020-08-15,3655.1373781320244,4407.468442714915,4530.733248158021,1494579.6944646721
Midwest,m,65,2020-09-15,3925.017653087565,4874.533304066667,4997.798109509773,1746294.3341982763
Midwest,m,65,2020-10-15,5087.953180324063,6037.468831303165,6160.73363674627,1998727.4733459055
Midwest,m,65,2020-11-15,7683.064250932805,8632.579901911906,8755.844707355012,2251863.1400973834
Midwest,m,65,2020-12-15,10834.27179789462,11783.787448873722,11907.052254316828,2505683.1690112893
Midwest,m,65,2021-01-15,12819.562729107134,13767.79569563243,13892.343185529342,2760167.201014959
Midwest,m,65,2021-02-15,13179.21677474528,14075.83067521059,14338.305376986296,3015292.683404485
Midwest,m,65,2021-03-15,13344.166873569242,14209.377882536264,14590.347043089063,3271034.8698447165
Midwest,m,65,2021-04-15,13650.434047816238,14443.795486928888,14959.980599169303,3527366.820369257
Midwest,m,75,2020-03-15,337.49780604933005,451.52228404319897,514.0493136213079,111647.2005329586
Midwest,m,75,2020-04-15,1847.5981664423864,2003.9605738123214,2078.037888362281,223455.51365043214
Midwest,m,75,2020-05-15,2725.3748762653895,2885.002549943773,3006.5663358410466,335422.8321333427
Midwest,m,75,2020-06-15,2781.509147787595,3056.1450650318916,3249.5197476040294,447547.69270680705
Midwest,m,75,2020-07-15,3259.4047513964842,3652.3930732334024,3860.7843662166,559829.2760401367
Midwest,m,75,2020-08-15,4186.284993769217,4635.4553600530835,4860.65516356495,672267.8581872247
Midwest,m,75,2020-09-15,4661.010619775082,5207.748107818057,5447.949297550359,784866.6163480931
Midwest,m,75,2020-10-15,6417.89010855798,6964.627596600956,7204.828786333258,897632.0803092795
Midwest,m,75,2020-11-15,10098.019643504238,10644.757131547214,10884.958321279515,1010574.1324438374
Midwest,m,75,2020-12-15,14719.493027963184,15266.23051600616,15506.431705738463,1123706.0077113358
Midwest,m,75,2021-01-15,17019.233117169537,17622.747970235192,17862.949159967495,1237044.29365786
Midwest,m,75,2021-02-15,17146.036904978388,17627.246043088333,18078.01399201155,1350608.9304160103
Midwest,m,75,2021-03-15,17146.036904978388,17531.628957676534,18129.92564615749,1464423.2107049031
Midwest,m,75,2021-04-15,17342.361055401532,17536.364212813678,18356.802369571174,1578513.779830171
Midwest,m,85,2020-03-15,0,75.92044022113066,113.39038234675598,42125.5221942264
Midwest,m,85,2020-04-15,1234.3403458576288,1401.6578511114647,1452.7816768175373,84303.44632593574
Midwest,m,85,2020-05-15,1883.274364853806,2148.5168720655856,2231.5053409215643,126533.96656694057
Midwest,m,85,2020-06-15,2026.1808245483417,2179.7608335029045,2392.5846911967365,168816.84987697168
Midwest,m,85,2020-07-15,2359.347226638683,2521.1995906223992,2757.8233919421136,211151.4360036781
Midwest,m,85,2020-08-15,2817.460147873208,3148.8530358314883,3385.4768371512027,253536.73035585723
Midwest,m,85,2020-09-15,3138.608637160305,3635.399620294034,3886.4186928799945,295971.77549637546
Midwest,m,85,2020-10-15,4561.3562554312875,5058.147238565017,5309.166311150977,338455.74401539844
Midwest,m,85,2020-11-15,8017.158197827172,8513.949180960903,8764.968253546862,380987.93853039085
Midwest,m,85,2020-12-15,11961.520561774145,12477.059041049082,12728.078113635043,423567.79168611654
Midwest,m,85,2021-01-15,13277.98069467614,13988.633129108368,14242.610674547188,466194.86615463847
Midwest,m,85,2021-02-15,13277.98069467614,13282.382351844879,14242.610674547188,508868.85463531886
Midwest,m,85,2021-03-15,13277.98069467614,12392.815755854876,14242.610674547188,551589.5798548191
Midwest,m,85,2021-04-15,13277.98069467614,11558.378394375291,14246.238824938506,594356.9945670995
Midwest,t,0,2020-03-15,163.24850257965943,297.707777851113,303.6585626193876,3034385.075722509
Midwest,t,0,2020-04-15,508.1834495786555,713.0845765107259,730.9423144116374,6068079.111047488
Midwest,t,0,2020-05-15,1287.848125660666,1509.1313675565484,1526.98910545746,9101069.699001752
Midwest,t,0,2020-06-15,1954.8062767605218,2242.284192008366,2260.1419299092777,12133347.106205463
Midwest,t,0,2020-07-15,2700.7923898329686,3030.2855767223073,3050.0762653272654,15164904.272872131
Midwest,t,0,2020-08-15,3205.433053569333,3624.9541177584674,3644.744806363426,18195736.658552323
Midwest,t,0,2020-09-15,3564.2163849858675,4098.369332841791,4118.160021446749,21225841.62510856
Midwest,t,0,2020-10-15,4108.758322962124,4688.9729107428875,4713.913925107133,24255218.282459006
Midwest,t,0,2020-11-15,4622.0497831488465,5238.8925879107965,5265.272200858621,27283867.488577496
Midwest,t,0,2020-12-15,5197.240252831429,5841.532638284764,5870.6410030059815,30311791.849493526
Midwest,t,0,2021-01-15,5804.19084382681,6499.965344206978,6533.473026970152,33338995.719292242
Midwest,t,0,2021-02-15,5804.19084382681,6651.553227732047,6711.28745083619,36365485.200114466
Midwest,t,0,2021-03-15,6328.717864230035,7179.833306996133,7256.749961398505,39391268.14215666
Midwest,t,0,2021-04-15,6806.151468049785,7662.018657086291,7789.125123743628,42416354.143670954
Midwest,t,40,2020-03-15,643.204148499639,823.7312876435326,827.7989405307742,1816181.671991202
Midwest,t,40,2020-04-15,2563.0669277367915,2877.529395871648,2890.0514374763675,3631976.8061038777
Midwest,t,40,2020-05-15,4944.508948787138,5268.192499093508,5280.714540698228,5447398.809717662
Midwest,t,40,2020-06-15,6086.05384530214,6564.388545886958,6576.910587491678,7262462.119856796
Midwest,t,40,2020-07-15,7726.341427386186,8273.137819029445,8285.659860634165,9077182.203190135
Midwest,t,40,2020-08-15,9275.923485356123,9859.411890675747,9871.933932280466,10891574.665809795
Midwest,t,40,2020-09-15,10023.81120067231,10763.626195584447,10780.63303587166,12705651.692345819
Midwest,t,40,2020-10-15,11669.460123492832,12433.90499833915,12450.911838626364,14519421.15574483
Midwest,t,40,2020-11-15,14526.78566006199,15291.230534908309,15308.23737519552,16332886.617270032
Midwest,t,40,2020-12-15,18818.974173644863,19583.41904849118,19600.425888778394,18146047.326501217
Midwest,t,40,2021-01-15,21722.606830285167,22487.051705131486,22504.0585454187,19958898.221334748
Midwest,t,40,2021-02-15,22152.96269702795,23040.131391627896,23111.788909602685,21771429.92798358
Midwest,t,40,2021-03-15,22992.421298880443,23924.471264414326,24036.485304554586,23583628.760977246
Midwest,t,40,2021-04-15,24264.055443142584,25301.078457043648,25429.886853961674,25395476.723161865
Midwest,t,65,2020-03-15,430.9542301364231,472.95069094565594,557.6527266215477,531955.4072316315
Midwest,t,65,2020-04-15,2657.7094583878015,2750.0423119198786,2852.717373445438,1065526.427811942
Midwest,t,65,2020-05-15,4170.49743365842,4293.091623508818,4444.529528355756,1600709.1401241145
Midwest,t,65,2020-06-15,4640.495092398508,5040.022106259588,5191.4600111065265,2137495.7898199703
Midwest,t,65,2020-07-15,5741.7499145368365,6172.161962115628,6327.118697123591,2675874.789819971
Midwest,t,65,2020-08-15,6779.404250874009,7342.3666425491265,7497.32337755709,3215830.4674888183
Midwest,t,65,2020-09-15,7511.012520760686,8301.187195121545,8456.143930129509,3757342.053337849
Midwest,t,65,2020-10-15,9510.580171402535,10300.754845763395,10455.711580771358,4300383.42820064
Midwest,t,65,2020-11-15,13613.867174241917,14404.041848602777,14558.99858361074,4844923.123233004
Midwest,t,65,2020-12-15,18986.186505894137,19776.361180254997,19931.31791526296,5390924.319912989
Midwest,t,65,2021-01-15,22182.21172385898,22983.356507539243,23138.313242547207,5938344.850040883
