State,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Alabama,f,0,2020-03-15,0,15.979534010790104,15.979534010790104,97085.28673600532
Alabama,f,0,2020-04-15,0,17.10508468904588,17.10508468904588,194149.9780185875
Alabama,f,0,2020-05-15,28.271349947997805,45.37643463704369,45.37643463704369,291194.0601994466
Alabama,f,0,2020-06-15,28.271349947997805,44.79332545649983,45.37643463704369,388217.5638721545
Alabama,f,0,2020-07-15,28.271349947997805,63.355457978217586,63.938567158761444,485220.5638721545
Alabama,f,0,2020-08-15,49.97836684984759,85.06247488006737,85.64558406061123,582203.1981923867
Alabama,f,0,2020-09-15,49.97836684984759,77.91389066773799,85.64558406061123,679165.7436457874
Alabama,f,0,2020-10-15,49.97836684984759,79.90907482966192,87.64076822253516,776108.6347809149
Alabama,f,0,2020-11-15,49.97836684984759,95.04725264911211,102.77894604198535,873032.4638819488
Alabama,f,0,2020-12-15,77.25862021420302,122.32750601346754,130.05919940634078,969937.9809686902
Alabama,f,0,2021-01-15,77.25862021420302,137.7487742206551,145.48046761352833,1066826.0937965617
Alabama,f,0,2021-02-15,77.25862021420302,155.30985478277603,163.04154817564927,1163697.8678566075
Alabama,f,0,2021-03-15,77.25862021420302,162.0094042269243,169.74109761979753,1260554.5263754933
Alabama,f,0,2021-04-15,77.25862021420302,169.84593889320539,177.57763228607863,1357397.4503155064
Alabama,f,40,2020-03-15,0,23.003199078391788,23.003199078391788,66160.12090357454
Alabama,f,40,2020-04-15,0,47.68234236802476,47.68234236802476,132300.63339244714
Alabama,f,40,2020-05-15,78.83104405220843,126.51338642023319,126.51338642023319,198421.84446246264
Alabama,f,40,2020-06-15,152.46519253645295,200.1475349044777,200.1475349044777,264524.0954711737
Alabama,f,40,2020-07-15,304.90187189015694,352.5842142581817,352.5842142581817,330607.7621378408
Alabama,f,40,2020-08-15,442.05494039614786,489.7372827641726,489.7372827641726,396673.20903707074
Alabama,f,40,2020-09-15,515.5347837942769,563.2171261623016,563.2171261623016,462720.6075733702
Alabama,f,40,2020-10-15,597.4815816745484,645.1639240425732,645.1639240425732,528749.8904747845
Alabama,f,40,2020-11-15,682.2998492965769,729.9821916646017,729.9821916646017,594760.7517928974
Alabama,f,40,2020-12-15,867.1280990920291,914.8104414600539,914.8104414600539,660752.646902831
Alabama,f,40,2021-01-15,1146.8752735506373,1194.5576159186621,1194.5576159186621,726724.792503246
Alabama,f,40,2021-02-15,1230.7382323521729,1278.4205747201977,1278.4205747201977,792676.1666163417
Alabama,f,40,2021-03-15,1230.7382323521729,1318.9798507161136,1318.9798507161136,858605.5085878555
Alabama,f,40,2021-04-15,1230.7382323521729,1323.1642633951274,1323.1642633951274,924511.3190870637
Alabama,f,65,2020-03-15,0,16.479122716399672,16.479122716399672,22320.049389518677
Alabama,f,65,2020-04-15,0,55.1371495581721,55.1371495581721,44700.877882659704
Alabama,f,65,2020-05-15,57.43617306235171,112.57332262052381,112.57332262052381,67142.4096738022
Alabama,f,65,2020-06-15,104.15821092989694,159.29536048806904,159.29536048806904,89644.49538142131
Alabama,f,65,2020-07-15,231.16193879940369,286.2990883575758,286.2990883575758,112206.91204808817
Alabama,f,65,2020-08-15,359.01325926266526,414.15040882083736,414.15040882083736,134829.3437254236
Alabama,f,65,2020-09-15,412.137259143446,467.2744087016181,467.2744087016181,157511.30381391273
Alabama,f,65,2020-10-15,473.13050580212706,528.2676553602992,528.2676553602992,180252.1156478587
Alabama,f,65,2020-11-15,570.9258369655817,626.0629865237538,626.0629865237538,203050.91249538265
Alabama,f,65,2020-12-15,785.5275010685943,840.6646506267664,840.6646506267664,225906.63755842362
Alabama,f,65,2021-01-15,1083.9573055038964,1139.0944550620684,1139.0944550620684,248818.0439727388
Alabama,f,65,2021-02-15,1143.2175397852413,1198.3546893434136,1198.3546893434136,271783.69480790314
Alabama,f,65,2021-03-15,1143.2175397852413,1209.648006738924,1209.648006738924,294801.9630673097
Alabama,f,65,2021-04-15,1143.2175397852413,1243.5168072319461,1243.5168072319461,317871.03168816963
Alabama,f,75,2020-03-15,0,-32.10396518104767,0,11993.44577215446
Alabama,f,75,2020-04-15,0,16.736368746649305,48.840333927696975,24006.15378201195
Alabama,f,75,2020-05-15,55.55589746733369,72.292266213983,104.39623139503067,36037.9996951919
Alabama,f,75,2020-06-15,150.04196235374832,166.77833110039762,198.8822962814453,48088.92199814292
Alabama,f,75,2020-07-15,365.917312806342,382.6536815529913,414.757646734039,60158.92199814273
Alabama,f,75,2020-08-15,570.4279612571087,587.164330003758,619.2682951848057,72248.09580567821
Alabama,f,75,2020-09-15,666.4284867764942,683.1648555231435,715.2688207041912,84356.76226396527
Alabama,f,75,2020-10-15,782.2433176190248,798.9796863656741,831.0836515467217,96485.49493132885
Alabama,f,75,2020-11-15,887.3675307396279,904.1038994862772,936.2078646673249,108635.12208120298
Alabama,f,75,2020-12-15,1219.6378945796425,1236.3742633262918,1268.4782285073395,120806.72670213069
Alabama,f,75,2021-01-15,1627.3339536245212,1644.0703223711703,1676.1742875522182,133001.64649776404
Alabama,f,75,2021-02-15,1777.8395391252488,1794.575907871898,1826.6798730529458,145221.47388686417
Alabama,f,75,2021-03-15,1777.8395391252488,1842.856189192408,1874.9601543734557,157468.05600330123
Alabama,f,75,2021-04-15,1777.8395391252488,1840.6943569080458,1874.9601543734557,169743.49469605443
Alabama,f,85,2020-03-15,0,-9.980081609133094,0,5945.938985468001
Alabama,f,85,2020-04-15,0,-1.281395768359971,8.698685840773123,11900.113905720475
