Country,Region,Date,Sex,Age,AgeInt,Metric,Measure,Value
USA,Arkansas,2020-09-26,m,25,10,Count,Deaths,7
USA,Arkansas,2020-09-26,m,35,10,Count,Deaths,10
USA,Arkansas,2020-09-26,m,45,10,Count,Deaths,45
USA,Arkansas,2020-09-26,m,55,10,Count,Deaths,100
USA,Arkansas,2020-09-26,m,65,10,Count,Deaths,142
USA,Arkansas,2020-09-26,m,75,10,Count,Deaths,185
USA,Arkansas,2020-09-26,m,85,20,Count,Deaths,139
USA,Arkansas,2020-09-26,m,TOT,NA,Count,Deaths,630
USA,California,2020-09-26,b,TOT,NA,Count,Deaths,14982
USA,California,2020-09-26,f,0,1,Count,Deaths,0
USA,California,2020-09-26,f,1,4,Count,Deaths,1
USA,California,2020-09-26,f,5,10,Count,Deaths,0
USA,California,2020-09-26,f,15,10,Count,Deaths,20
USA,California,2020-09-26,f,25,10,Count,Deaths,50
USA,California,2020-09-26,f,35,10,Count,Deaths,129
USA,California,2020-09-26,f,45,10,Count,Deaths,304
USA,California,2020-09-26,f,55,10,Count,Deaths,666
USA,California,2020-09-26,f,65,10,Count,Deaths,1143
USA,California,2020-09-26,f,75,10,Count,Deaths,1560
USA,California,2020-09-26,f,85,20,Count,Deaths,2428
USA,California,2020-09-26,f,TOT,NA,Count,Deaths,6301
USA,California,2020-09-26,m,0,1,Count,Deaths,1
USA,California,2020-09-26,m,1,4,Count,Deaths,0
USA,California,2020-09-26,m,5,10,Count,Deaths,0
USA,California,2020-09-26,m,15,10,Count,Deaths,22
USA,California,2020-09-26,m,25,10,Count,Deaths,107
USA,California,2020-09-26,m,35,10,Count,Deaths,310
USA,California,2020-09-26,m,45,10,Count,Deaths,764
USA,California,2020-09-26,m,55,10,Count,Deaths,1577
USA,California,2020-09-26,m,65,10,Count,Deaths,2125
USA,California,2020-09-26,m,75,10,Count,Deaths,2001
USA,California,2020-09-26,m,85,20,Count,Deaths,1774
USA,California,2020-09-26,m,TOT,NA,Count,Deaths,8681
USA,Colorado,2020-09-26,b,TOT,NA,Count,Deaths,1960
USA,Colorado,2020-09-26,f,0,1,Count,Deaths,0
USA,Colorado,2020-09-26,f,1,4,Count,Deaths,0
USA,Colorado,2020-09-26,f,5,10,Count,Deaths,0
USA,Colorado,2020-09-26,f,15,10,Count,Deaths,1
USA,Colorado,2020-09-26,f,25,10,Count,Deaths,3
USA,Colorado,2020-09-26,f,35,10,Count,Deaths,9
USA,Colorado,2020-09-26,f,45,10,Count,Deaths,24
USA,Colorado,2020-09-26,f,55,10,Count,Deaths,50
USA,Colorado,2020-09-26,f,65,10,Count,Deaths,133
USA,Colorado,2020-09-26,f,75,10,Count,Deaths,232
USA,Colorado,2020-09-26,f,85,20,Count,Deaths,406
USA,Colorado,2020-09-26,f,TOT,NA,Count,Deaths,858
USA,Colorado,2020-09-26,m,0,1,Count,Deaths,0
USA,Colorado,2020-09-26,m,1,4,Count,Deaths,0
USA,Colorado,2020-09-26,m,5,10,Count,Deaths,0
USA,Colorado,2020-09-26,m,15,10,Count,Deaths,2
USA,Colorado,2020-09-26,m,25,10,Count,Deaths,8
USA,Colorado,2020-09-26,m,35,10,Count,Deaths,20
USA,Colorado,2020-09-26,m,45,10,Count,Deaths,68
USA,Colorado,2020-09-26,m,55,10,Count,Deaths,140
USA,Colorado,2020-09-26,m,65,10,Count,Deaths,240
USA,Colorado,2020-09-26,m,75,10,Count,Deaths,314
USA,Colorado,2020-09-26,m,85,20,Count,Deaths,310
USA,Colorado,2020-09-26,m,TOT,NA,Count,Deaths,1102
USA,Connecticut,2020-09-26,b,TOT,NA,Count,Deaths,4410
USA,Connecticut,2020-09-26,f,0,1,Count,Deaths,1
USA,Connecticut,2020-09-26,f,1,4,Count,Deaths,0
USA,Connecticut,2020-09-26,f,5,10,Count,Deaths,0
USA,Connecticut,2020-09-26,f,15,10,Count,Deaths,1
USA,Connecticut,2020-09-26,f,25,10,Count,Deaths,4
USA,Connecticut,2020-09-26,f,35,10,Count,Deaths,10
USA,Connecticut,2020-09-26,f,45,10,Count,Deaths,27
USA,Connecticut,2020-09-26,f,55,10,Count,Deaths,125
USA,Connecticut,2020-09-26,f,65,10,Count,Deaths,295
USA,Connecticut,2020-09-26,f,75,10,Count,Deaths,576
USA,Connecticut,2020-09-26,f,85,20,Count,Deaths,1256
USA,Connecticut,2020-09-26,f,TOT,NA,Count,Deaths,2294
USA,Connecticut,2020-09-26,m,0,1,Count,Deaths,0
USA,Connecticut,2020-09-26,m,1,4,Count,Deaths,0
USA,Connecticut,2020-09-26,m,5,10,Count,Deaths,0
USA,Connecticut,2020-09-26,m,15,10,Count,Deaths,1
USA,Connecticut,2020-09-26,m,25,10,Count,Deaths,11
USA,Connecticut,2020-09-26,m,35,10,Count,Deaths,19
USA,Connecticut,2020-09-26,m,45,10,Count,Deaths,76
USA,Connecticut,2020-09-26,m,55,10,Count,Deaths,238
USA,Connecticut,2020-09-26,m,65,10,Count,Deaths,459
USA,Connecticut,2020-09-26,m,75,10,Count,Deaths,577
USA,Connecticut,2020-09-26,m,85,20,Count,Deaths,735
USA,Connecticut,2020-09-26,m,TOT,NA,Count,Deaths,2116
USA,Delaware,2020-09-26,b,TOT,NA,Count,Deaths,563
USA,Delaware,2020-09-26,f,0,1,Count,Deaths,0
USA,Delaware,2020-09-26,f,1,4,Count,Deaths,0
USA,Delaware,2020-09-26,f,5,10,Count,Deaths,0
USA,Delaware,2020-09-26,f,15,10,Count,Deaths,1
USA,Delaware,2020-09-26,f,25,10,Count,Deaths,2
USA,Delaware,2020-09-26,f,35,10,Count,Deaths,5
USA,Delaware,2020-09-26,f,45,10,Count,Deaths,16
USA,Delaware,2020-09-26,f,55,10,Count,Deaths,23
USA,Delaware,2020-09-26,f,65,10,Count,Deaths,44
USA,Delaware,2020-09-26,f,75,10,Count,Deaths,74
USA,Delaware,2020-09-26,f,85,20,Count,Deaths,135
USA,Delaware,2020-09-26,f,TOT,NA,Count,Deaths,300
USA,Delaware,2020-09-26,m,0,1,Count,Deaths,0
USA,Delaware,2020-09-26,m,1,4,Count,Deaths,0
USA,Delaware,2020-09-26,m,5,10,Count,Deaths,0
USA,Delaware,2020-09-26,m,15,10,Count,Deaths,1
USA,Delaware,2020-09-26,m,25,10,Count,Deaths,2
USA,Delaware,2020-09-26,m,35,10,Count,Deaths,6
USA,Delaware,2020-09-26,m,45,10,Count,Deaths,11
USA,Delaware,2020-09-26,m,55,10,Count,Deaths,33
USA,Delaware,2020-09-26,m,65,10,Count,Deaths,76
USA,Delaware,2020-09-26,m,75,10,Count,Deaths,72
USA,Delaware,2020-09-26,m,85,20,Count,Deaths,63
USA,Delaware,2020-09-26,m,TOT,NA,Count,Deaths,263
USA,District of Columbia,2020-09-26,b,TOT,NA,Count,Deaths,756
USA,District of Columbia,2020-09-26,f,0,1,Count,Deaths,0
USA,District of Columbia,2020-09-26,f,1,4,Count,Deaths,0
USA,District of Columbia,2020-09-26,f,5,10,Count,Deaths,0
USA,District of Columbia,2020-09-26,f,15,10,Count,Deaths,1
USA,District of Columbia,2020-09-26,f,25,10,Count,Deaths,2
USA,District of Columbia,2020-09-26,f,35,10,Count,Deaths,6
USA,District of Columbia,2020-09-26,f,45,10,Count,Deaths,21
USA,District of Columbia,2020-09-26,f,55,10,Count,Deaths,52
USA,District of Columbia,2020-09-26,f,65,10,Count,Deaths,74
USA,District of Columbia,2020-09-26,f,75,10,Count,Deaths,66
USA,District of Columbia,2020-09-26,f,85,20,Count,Deaths,91
USA,District of Columbia,2020-09-26,f,TOT,NA,Count,Deaths,313
USA,District of Columbia,2020-09-26,m,0,1,Count,Deaths,1
USA,District of Columbia,2020-09-26,m,1,4,Count,Deaths,0
USA,District of Columbia,2020-09-26,m,5,10,Count,Deaths,0
USA,District of Columbia,2020-09-26,m,15,10,Count,Deaths,0
USA,District of Columbia,2020-09-26,m,25,10,Count,Deaths,6
USA,District of Columbia,2020-09-26,m,35,10,Count,Deaths,22
USA,District of Columbia,2020-09-26,m,45,10,Count,Deaths,48
USA,District of Columbia,2020-09-26,m,55,10,Count,Deaths,85
USA,District of Columbia,2020-09-26,m,65,10,Count,Deaths,130
USA,District of Columbia,2020-09-26,m,75,10,Count,Deaths,91
USA,District of Columbia,2020-09-26,m,85,20,Count,Deaths,61
USA,District of Columbia,2020-09-26,m,TOT,NA,Count,Deaths,443
USA,Florida,2020-09-26,b,TOT,NA,Count,Deaths,14351
USA,Florida,2020-09-26,f,0,1,Count,Deaths,0
USA,Florida,2020-09-26,f,1,4,Count,Deaths,0
USA,Florida,2020-09-26,f,5,10,Count,Deaths,2
USA,Florida,2020-09-26,f,15,10,Count,Deaths,12
USA,Florida,2020-09-26,f,25,10,Count,Deaths,32
USA,Florida,2020-09-26,f,35,10,Count,Deaths,94
USA,Florida,2020-09-26,f,45,10,Count,Deaths,202
USA,Florida,2020-09-26,f,55,10,Count,Deaths,545
USA,Florida,2020-09-26,f,65,10,Count,Deaths,1212
USA,Florida,2020-09-26,f,75,10,Count,Deaths,1798
USA,Florida,2020-09-26,f,85,20,Count,Deaths,2490
USA,Florida,2020-09-26,f,TOT,NA,Count,Deaths,6387
USA,Florida,2020-09-26,m,0,1,Count,Deaths,0
USA,Florida,2020-09-26,m,1,4,Count,Deaths,0
USA,Florida,2020-09-26,m,5,10,Count,Deaths,1
USA,Florida,2020-09-26,m,15,10,Count,Deaths,19
USA,Florida,2020-09-26,m,25,10,Count,Deaths,56
USA,Florida,2020-09-26,m,35,10,Count,Deaths,162
USA,Florida,2020-09-26,m,45,10,Count,Deaths,415
USA,Florida,2020-09-26,m,55,10,Count,Deaths,1079
USA,Florida,2020-09-26,m,65,10,Count,Deaths,1909
USA,Florida,2020-09-26,m,75,10,Count,Deaths,2347
USA,Florida,2020-09-26,m,85,20,Count,Deaths,1976
USA,Florida,2020-09-26,m,TOT,NA,Count,Deaths,7964
USA,Georgia,2020-09-26,b,TOT,NA,Count,Deaths,5911
USA,Georgia,2020-09-26,f,0,1,Count,Deaths,0
USA,Georgia,2020-09-26,f,1,4,Count,Deaths,0
USA,Georgia,2020-09-26,f,5,10,Count,Deaths,1
USA,Georgia,2020-09-26,f,15,10,Count,Deaths,6
USA,Georgia,2020-09-26,f,25,10,Count,Deaths,29
USA,Georgia,2020-09-26,f,35,10,Count,Deaths,63
USA,Georgia,2020-09-26,f,45,10,Count,Deaths,137
USA,Georgia,2020-09-26,f,55,10,Count,Deaths,356
USA,Georgia,2020-09-26,f,65,10,Count,Deaths,610
USA,Georgia,2020-09-26,f,75,10,Count,Deaths,754
USA,Georgia,2020-09-26,f,85,20,Count,Deaths,862
USA,Georgia,2020-09-26,f,TOT,NA,Count,Deaths,2817
USA,Georgia,2020-09-26,m,0,1,Count,Deaths,1
USA,Georgia,2020-09-26,m,1,4,Count,Deaths,1
USA,Georgia,2020-09-26,m,5,10,Count,Deaths,1
USA,Georgia,2020-09-26,m,15,10,Count,Deaths,12
USA,Georgia,2020-09-26,m,25,10,Count,Deaths,35
USA,Georgia,2020-09-26,m,35,10,Count,Deaths,73
USA,Georgia,2020-09-26,m,45,10,Count,Deaths,227
USA,Georgia,2020-09-26,m,55,10,Count,Deaths,496
USA,Georgia,2020-09-26,m,65,10,Count,Deaths,840
USA,Georgia,2020-09-26,m,75,10,Count,Deaths,864
USA,Georgia,2020-09-26,m,85,20,Count,Deaths,545
USA,Georgia,2020-09-26,m,TOT,NA,Count,Deaths,3094
USA,Hawaii,2020-09-26,b,TOT,NA,Count,Deaths,150
USA,Hawaii,2020-09-26,f,0,1,Count,Deaths,0
USA,Hawaii,2020-09-26,f,1,4,Count,Deaths,0
USA,Hawaii,2020-09-26,f,5,10,Count,Deaths,0
USA,Hawaii,2020-09-26,f,15,10,Count,Deaths,0
USA,Hawaii,2020-09-26,f,25,10,Count,Deaths,1
USA,Hawaii,2020-09-26,f,35,10,Count,Deaths,1
USA,Hawaii,2020-09-26,f,45,10,Count,Deaths,2
USA,Hawaii,2020-09-26,f,55,10,Count,Deaths,6
USA,Hawaii,2020-09-26,f,65,10,Count,Deaths,10
USA,Hawaii,2020-09-26,f,75,10,Count,Deaths,10
USA,Hawaii,2020-09-26,f,85,20,Count,Deaths,25
USA,Hawaii,2020-09-26,f,TOT,NA,Count,Deaths,55
USA,Hawaii,2020-09-26,m,0,1,Count,Deaths,0
USA,Hawaii,2020-09-26,m,1,4,Count,Deaths,0
USA,Hawaii,2020-09-26,m,5,10,Count,Deaths,0
USA,Hawaii,2020-09-26,m,15,10,Count,Deaths,0
USA,Hawaii,2020-09-26,m,25,10,Count,Deaths,0
USA,Hawaii,2020-09-26,m,35,10,Count,Deaths,2
USA,Hawaii,2020-09-26,m,45,10,Count,Deaths,5
USA,Hawaii,2020-09-26,m,55,10,Count,Deaths,15
USA,Hawaii,2020-09-26,m,65,10,Count,Deaths,22
USA,Hawaii,2020-09-26,m,75,10,Count,Deaths,21
USA,Hawaii,2020-09-26,m,85,20,Count,Deaths,30
USA,Hawaii,2020-09-26,m,TOT,NA,Count,Deaths,95
USA,Idaho,2020-09-26,b,TOT,NA,Count,Deaths,471
USA,Idaho,2020-09-26,f,0,1,Count,Deaths,0
USA,Idaho,2020-09-26,f,1,4,Count,Deaths,0
USA,Idaho,2020-09-26,f,5,10,Count,Deaths,0
USA,Idaho,2020-09-26,f,15,10,Count,Deaths,0
USA,Idaho,2020-09-26,f,25,10,Count,Deaths,0
USA,Idaho,2020-09-26,f,35,10,Count,Deaths,2
USA,Idaho,2020-09-26,f,45,10,Count,Deaths,6
USA,Idaho,2020-09-26,f,55,10,Count,Deaths,14
USA,Idaho,2020-09-26,f,65,10,Count,Deaths,39
USA,Idaho,2020-09-26,f,75,10,Count,Deaths,48
USA,Idaho,2020-09-26,f,85,20,Count,Deaths,99
USA,Idaho,2020-09-26,f,TOT,NA,Count,Deaths,208
USA,Idaho,2020-09-26,m,0,1,Count,Deaths,0
USA,Idaho,2020-09-26,m,1,4,Count,Deaths,0
USA,Idaho,2020-09-26,m,5,10,Count,Deaths,0
USA,Idaho,2020-09-26,m,15,10,Count,Deaths,0
USA,Idaho,2020-09-26,m,25,10,Count,Deaths,0
USA,Idaho,2020-09-26,m,35,10,Count,Deaths,3
USA,Idaho,2020-09-26,m,45,10,Count,Deaths,9
USA,Idaho,2020-09-26,m,55,10,Count,Deaths,21
USA,Idaho,2020-09-26,m,65,10,Count,Deaths,51
USA,Idaho,2020-09-26,m,75,10,Count,Deaths,94
USA,Idaho,2020-09-26,m,85,20,Count,Deaths,85
USA,Idaho,2020-09-26,m,TOT,NA,Count,Deaths,263
USA,Illinois,2020-09-26,b,TOT,NA,Count,Deaths,7791
USA,Illinois,2020-09-26,f,0,1,Count,Deaths,1
USA,Illinois,2020-09-26,f,1,4,Count,Deaths,0
USA,Illinois,2020-09-26,f,5,10,Count,Deaths,0
USA,Illinois,2020-09-26,f,15,10,Count,Deaths,9
USA,Illinois,2020-09-26,f,25,10,Count,Deaths,22
USA,Illinois,2020-09-26,f,35,10,Count,Deaths,54
USA,Illinois,2020-09-26,f,45,10,Count,Deaths,129
USA,Illinois,2020-09-26,f,55,10,Count,Deaths,340
USA,Illinois,2020-09-26,f,65,10,Count,Deaths,601
USA,Illinois,2020-09-26,f,75,10,Count,Deaths,863
USA,Illinois,2020-09-26,f,85,20,Count,Deaths,1517
USA,Illinois,2020-09-26,f,TOT,NA,Count,Deaths,3535
